Event Name,Swim time,Swim date,Event description,Team Code,Team Name,Athlete Full Name,Gender,Athlete birth date,Rank_Order,City,Country Code,Duration (hh:mm:ss:ff)
European Championships 2022,46.86,8/13/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,9/15/2004,1,Rome,ITA,0:0:46:86
13th FINA World Championships 2009,46.91,7/30/2009,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,1/10/1987,2,Rome,ITA,0:0:46:91
French National Championships (50m),46.94,4/23/2009,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,5/1/1983,3,Montpellier,FRA,0:0:46:94
18th FINA World Championships 2019,46.96,7/25/2019,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,8/16/1996,4,Gwangju,KOR,0:0:46:96
European Championships 2022,46.98,8/12/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,9/15/2004,5,Rome,ITA,0:0:46:98
Olympic Games Tokyo 2020,47.02,7/29/2021,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,8/16/1996,6,Tokyo,JPN,0:0:47:02
Australian National Championships (50m),47.04,4/10/2016,Men 100 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,5/13/1994,7,Adelaide,AUS,0:0:47:04
Olympic Games Beijing 2008,47.05,8/13/2008,Men 100 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,8/30/1985,8,Beijing,CHN,0:0:47:05
8th FINA World Junior Swimming Championships 2022,47.07,8/30/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,9/15/2004,9,Lima,PER,0:0:47:07
Olympic Games Tokyo 2020,47.08,7/29/2021,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,6/25/1998,10,Tokyo,JPN,0:0:47:08
18th FINA World Championships 2019,47.08,7/25/2019,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,6/25/1998,11,Gwangju,KOR,0:0:47:08
13th FINA World Championships 2009,47.09,7/26/2009,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,1/10/1987,12,Rome,ITA,0:0:47:09
2012 EnergyAustralia Swimming,47.10,3/15/2012,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,4/11/1991,13,Adelaide,AUS,0:0:47:10
Olympic Games Tokyo 2020,47.11,7/28/2021,Men 100 Freestyle LCM Male,ROC,ROC,"KOLESNIKOV, Kliment",M,7/9/2000,14,Tokyo,JPN,0:0:47:11
13th FINA World Championships 2009,47.12,7/30/2009,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,5/1/1983,15,Rome,ITA,0:0:47:12
19th FINA World Championships Budapest 2022,47.13,6/21/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,9/15/2004,16,Budapest,HUN,0:0:47:13
17th FINA World Championships 2017,47.17,7/27/2017,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,8/16/1996,17,Budapest,HUN,0:0:47:17
European Championships 2022,47.20,8/12/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,9/15/2004,18,Rome,ITA,0:0:47:20
Olympic Games Beijing 2008,47.20,8/13/2008,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,5/1/1983,19,Beijing,CHN,0:0:47:20
Olympic Games Beijing 2008,47.21,8/14/2008,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,5/1/1983,20,Beijing,CHN,0:0:47:21
Olympic Games Tokyo 2020,47.23,7/28/2021,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,8/16/1996,21,Tokyo,JPN,0:0:47:23
Olympic Games Beijing 2008,47.24,8/11/2008,Men 100 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,8/30/1985,22,Beijing,CHN,0:0:47:24
13th FINA World Championships 2009,47.25,7/30/2009,Men 100 Freestyle LCM Male,FRA,France,"BOUSQUET, Frederick",M,4/8/1981,23,Rome,ITA,0:0:47:25
Olympic Games Tokyo 2020,47.26,7/26/2021,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,8/16/1996,24,Tokyo,JPN,0:0:47:26
17th FINA World Championships 2017,47.26,7/23/2017,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,8/16/1996,25,Budapest,HUN,0:0:47:26
13th FINA World Championships 2009,47.27,7/30/2009,Men 100 Freestyle LCM Male,CAN,Canada,"HAYDEN, Brent",M,10/21/1983,26,Rome,ITA,0:0:47:27
